object_number,split,pupil_tier,creator,title,n_tiles,z_B_tile,z_B_fixed_refit,rank_z_B_tile,tile_iqr_sigma,support_grad_mag_mean,med_grad_mag_mean,mean_grad_mag_mean,iqr_grad_mag_mean,z_grad_mag_mean,support_grad_mag_std,med_grad_mag_std,mean_grad_mag_std,iqr_grad_mag_std,z_grad_mag_std,support_grad_orient_entropy,med_grad_orient_entropy,mean_grad_orient_entropy,iqr_grad_orient_entropy,z_grad_orient_entropy,support_laplacian_var,med_laplacian_var,mean_laplacian_var,iqr_laplacian_var,z_laplacian_var,support_lbp_entropy,med_lbp_entropy,mean_lbp_entropy,iqr_lbp_entropy,z_lbp_entropy,support_glcm_contrast,med_glcm_contrast,mean_glcm_contrast,iqr_glcm_contrast,z_glcm_contrast,support_lab_chroma_mean,med_lab_chroma_mean,mean_lab_chroma_mean,iqr_lab_chroma_mean,z_lab_chroma_mean,support_hue_circ_std,med_hue_circ_std,mean_hue_circ_std,iqr_hue_circ_std,z_hue_circ_std
SK-A-3508,pupil,tier1,Nicolaes Maes,Portret van een jonge man,20,0.70195671,0.48438913,37,0.68434900,20,0.05894338,0.077538588,0.025450866,-0.78998636,20,0.047319759,0.057393699,0.03246767,-0.73994301,20,2.993639,2.9845734,0.0054849717,0.65446942,20,0.0010051857,0.0022164217,0.0013191036,-0.56844591,20,3.1670457,3.1624929,0.010413284,0.44983207,20,0.35094665,0.56980206,0.33193721,-0.62097680,20,3.22074,9.2130743,4.9021134,-0.97942725,20,0.15556474,0.15569036,0.10610488,0.68676914
SK-A-3516,pupil,tier2,Jacob Backer,"Portrait of Jan Lutma (1584/85-1669), Amsterdam Silversmith",20,0.62805425,0.55608574,42,0.56596856,20,0.10653916,0.1173593,0.017750697,0.56683648,20,0.0727891,0.089276676,0.042956685,-0.00540151,20,2.9936675,2.9854879,0.0094024197,0.65516329,20,0.001901889,0.002324168,0.0011976697,-0.25688331,20,3.2095537,3.2050574,0.006412441,0.96568818,20,0.66171809,0.78354766,0.32303421,-0.01882301,20,8.3233515,8.4405248,10.767431,-0.19977897,15,0.097313042,0.098233272,0.050335736,-1.16886130
SK-A-3517,pupil,tier2,Jacob Backer,"Portrait of Sara de Bie, Jan Lutma's second Wife",20,0.44309471,0.46700178,62,0.81494009,20,0.092799466,0.093266018,0.038285997,0.17515619,20,0.057787158,0.070579636,0.03932747,-0.43806087,20,2.9946658,2.9912402,0.0061245197,0.67952261,20,0.00160958,0.0016617152,0.0014324562,-0.35844705,20,3.1917215,3.189518,0.014925057,0.74928487,20,0.55476679,0.57863714,0.36573803,-0.22605290,20,7.3035312,7.4230799,6.0291813,-0.35560137,20,0.13831813,0.13397819,0.073125211,0.13737180
SK-A-3934,validation,,,Borstbeeld van een lachende jonge man,20,0.89202058,1.15169001,23,0.48792301,20,0.043692244,0.046550899,0.013637057,-1.22475372,20,0.030933247,0.032289686,0.00869335,-1.21253367,20,2.9699189,2.9628906,0.031963009,0.07573096,20,0.00024411195,0.00029995625,0.00015748885,-0.83288359,20,3.0999087,3.0952904,0.075319116,-0.36490956,20,0.20168517,0.19815115,0.086726611,-0.91018732,20,9.6917244,10.794292,3.8423739,0.00930016,20,0.092665785,0.10667968,0.035079711,-1.31690147
SK-A-3969,pupil,tier1,Aert de Gelder,"Ernestus van Beveren (1660-1722), Lord of West-Ysselmonde and de Lindt, Alderman, Burgomaster and from 1704 on Postmaster of Dordrecht",20,0.71851004,0.53437236,34,0.82780937,20,0.05507422,0.064149361,0.026514135,-0.90028534,20,0.050496389,0.059856647,0.02068365,-0.64832828,20,2.9791751,2.9710897,0.036878034,0.30156846,20,0.00033242199,0.00062145701,0.00024360242,-0.80219997,20,3.1025976,3.0931358,0.10401801,-0.33227816,20,0.23283013,0.33133624,0.12474354,-0.84984055,20,7.3354866,10.996472,8.0154375,-0.35071877,20,0.16852399,0.17182958,0.11264752,1.09959106
SK-A-397,pupil,tier2,Jacob Backer,Portrait of Machtelt Bas (?-1681),20,0.99545690,1.21848251,18,0.58590148,20,0.08117139,0.091501128,0.033614986,-0.15632782,20,0.060847954,0.06780124,0.023169002,-0.34978684,20,2.9849969,2.9829886,0.014918826,0.44361252,20,0.0006811905,0.0011024478,0.00091356845,-0.68101916,20,3.1833494,3.1779249,0.041498366,0.64768515,20,0.4067718,0.50937132,0.23540741,-0.51280944,20,20.926886,17.74676,14.085103,1.72596507,20,0.075624655,0.10740448,0.11290555,-1.85975325
SK-A-3982,cohort,,,Portret van Dr. Ephraïm Bueno,20,0.79787202,0.48515761,27,1.29459815,20,0.050677711,0.069434906,0.051810605,-1.09401687,20,0.041193853,0.0774883,0.055227732,-0.97043908,20,2.9655907,2.9584213,0.046400443,-0.03073286,20,0.00049141841,0.0018871388,0.0017788594,-0.78308338,20,3.123102,3.1194192,0.10406367,-0.08586692,20,0.23592503,0.58230304,0.49864505,-0.88939646,20,4.0662014,6.9240913,8.6805181,-0.89648300,20,0.1596318,0.15163637,0.073855159,0.85902745
SK-A-4047,pupil,tier1,Nicolaes Maes,Woman at a Cradle,20,0.62492171,0.67096687,43,0.61508091,20,0.059819587,0.066108794,0.029477799,-0.76500816,20,0.043003467,0.054910165,0.020719722,-0.86442583,20,2.9874473,2.9780222,0.017102359,0.50340018,20,0.0004651187,0.00058454201,0.00040139302,-0.75609404,20,3.1523882,3.1537257,0.052128053,0.27195604,20,0.27360573,0.32838016,0.1458009,-0.77083334,20,9.1015286,10.189191,7.7489444,-0.08087821,20,0.1509682,0.18787215,0.1487062,0.54034461
SK-A-4050,cohort,,,Self Portrait as the Apostle Paul,20,0.71735308,0.56653902,35,1.01424212,20,0.083835309,0.099875188,0.040518937,-0.08271668,20,0.062904272,0.083564021,0.031804279,-0.29967757,20,2.9847397,2.983154,0.007498206,0.45280081,20,0.0023017687,0.0053393943,0.0030724725,-0.12139202,20,3.1739607,3.1591298,0.032174708,0.55436955,20,0.62551075,1.0848691,0.49594256,-0.09156191,20,7.6718956,9.190501,12.551268,-0.30884634,17,0.082992258,0.1192351,0.050239763,-1.84099293
SK-A-4057,cohort,,,Young Woman in Fantasy Costume,20,1.01411910,0.61401771,17,1.52929953,20,0.057916872,0.0820036,0.059187139,-0.86224595,20,0.058346889,0.10353296,0.11925406,-0.43664149,20,2.9020619,2.8344384,0.12243311,-1.77948590,20,0.00056595063,0.0016605256,0.001534174,-0.75494544,20,3.0680947,3.0434606,0.11300218,-0.78747585,20,0.30345296,0.76617595,0.65785697,-0.74621163,20,3.1191137,5.2281662,2.5425644,-1.05897014,18,0.16696105,0.24184114,0.091015087,1.12182708
SK-A-4090,pupil,tier2,Jan Lievens,Vanitas Still Life,20,0.52712508,0.83612813,53,0.72661309,20,0.06395137,0.091262731,0.047812028,-0.64722253,20,0.053374742,0.080764791,0.031774683,-0.56531593,20,2.9882277,2.979199,0.0097351135,0.52243922,20,0.00054033657,0.0012994745,0.00076850603,-0.72995934,20,3.1659285,3.1685145,0.019683183,0.43627358,20,0.31859042,0.61665167,0.27706156,-0.68367057,20,8.7434329,11.314585,7.9940274,-0.13559308,19,0.13557497,0.17072533,0.077808804,0.04998739
SK-A-4096,ambiguous,,,Simson en Delila,20,1.64911571,2.02507229,7,1.72739113,20,0.17380044,0.18221794,0.069380923,2.48426804,20,0.17161646,0.1811696,0.064502744,2.84480162,20,2.9542061,2.9299909,0.086243752,-0.30764007,20,0.0043580172,0.0054830701,0.0045891295,0.59650683,20,3.1781866,3.1661534,0.049300555,0.58503180,20,1.4868552,1.7693113,1.2401975,1.57997088,20,22.208623,22.362465,5.9284358,1.92180675,20,0.15641972,0.15872732,0.04995822,0.71400489
